"ID","Title","Address","SystemID","timestamp","claimed"
306,Θέατρο Eliart,Βοτανικός,2,2021-01-31 10:19:11.000,false
307,ΦΙΓΟΥΡΕΣ & ΚΟΥΚΛΕΣ,Παλαιό Φάληρο,2,2021-01-31 10:20:27.000,false
308,ZEA CINEMA,Πειραιάς,2,2021-01-31 10:20:43.000,false
309,Studio Μαυρομιχάλη,"Αθήνα, Αττική",2,2021-01-31 10:21:11.000,false
310,Θέατρο Κάτω,Ηράκλειο,2,2021-01-31 10:21:26.000,false
311,TAE KWON DO,Φάληρο,2,2021-01-31 10:21:40.000,false
312,Θέατρο Από Κοινού,Γκάζι,2,2021-01-31 10:22:05.000,false
313,Θέατρο Τζένη Καρέζη,"Σύνταγμα, Αττική",2,2021-01-31 10:22:25.000,false
314,"Γήπεδο TAE KWON DO, Φάληρο",Φάληρο,2,2021-01-31 10:23:35.000,false
315,Από Μηχανής Θέατρο,Κάτω Σκηνή,2,2021-01-31 10:23:47.000,false
316,Life Theater,Γκάζι,2,2021-01-31 10:24:33.000,false
317,Petrovaradin fortress,Νόβι Σαντ,2,2021-01-31 10:24:57.000,false
318,Θέατρο Αργώ,"Μεταξουργείο, Αττική",2,2021-01-31 10:25:07.000,false
319,Θέατρο Φούρνος,Νεάπολη Εξαρχείων,2,2021-01-31 10:25:27.000,false
320,Θέατρο Σημείο,"Καλλιθέα, Αττική",2,2021-01-31 10:28:42.000,false
321,Θέατρο Γκλόρια,Κεντρική Σκηνή,2,2021-01-31 10:29:02.000,false
322,Πολυχώρος Λιπασμάτων Δραπετσώνας,Πειραιάς,2,2021-01-31 10:29:23.000,false
323,TAE KWON DO,"",2,2021-01-31 10:30:59.000,false
324,Θέατρο Από Κοινού,"",2,2021-01-31 10:30:59.000,false
325,ONLINE,"",2,2021-01-31 10:30:59.000,false
326,ΦΙΓΟΥΡΕΣ & ΚΟΥΚΛΕΣ,"",2,2021-01-31 10:30:59.000,false
327,Θέατρο Μικρό Χορν,"",2,2021-01-31 10:30:59.000,false
328,Από Μηχανής Θέατρο - Κάτω Σκηνή,"",2,2021-01-31 10:30:59.000,false
329,Πολυχώρος Λιπασμάτων Δραπετσώνας,"",2,2021-01-31 10:30:59.000,false
330,Πολλαπλοί Χώροι,"",2,2021-01-31 10:30:59.000,false
331,Θέατρο Κάτω,"",2,2021-01-31 10:30:59.000,false
332,Christmas Theater,"",2,2021-01-31 10:30:59.000,false
333,Θέατρο Σημείο,"",2,2021-01-31 10:30:59.000,false
334,Θέατρο Γκλόρια,"",2,2021-01-31 10:30:59.000,false
