"ID","ProductionID","VenueID","DateEvent","PriceRange","SystemID","Timestamp","claimed"
1,612,418,2021-07-03 21:00:00.000,από 15€,2,2021-06-08 18:22:20.000,false
2,612,418,2021-07-04 21:00:00.000,από 15€,2,2021-06-08 18:22:20.000,false
3,612,418,2021-07-09 21:00:00.000,από 15€,2,2021-06-08 18:22:20.000,false
4,612,418,2021-07-10 21:00:00.000,από 15€,2,2021-06-08 18:22:21.000,false
5,612,418,2021-07-11 21:00:00.000,από 15€,2,2021-06-08 18:22:21.000,false
6,612,418,2021-07-16 21:00:00.000,από 15€,2,2021-06-08 18:22:21.000,false
7,612,418,2021-07-17 21:00:00.000,από 15€,2,2021-06-08 18:22:22.000,false
8,612,418,2021-07-18 21:00:00.000,από 15€,2,2021-06-08 18:22:22.000,false
9,612,418,2021-07-23 21:00:00.000,από 15€,2,2021-06-08 18:22:22.000,false
10,612,418,2021-07-24 21:00:00.000,από 15€,2,2021-06-08 18:22:23.000,false
11,612,418,2021-07-25 21:00:00.000,από 15€,2,2021-06-08 18:22:23.000,false
12,612,418,2021-07-30 21:00:00.000,από 15€,2,2021-06-08 18:22:23.000,false
13,612,418,2021-07-31 21:00:00.000,από 15€,2,2021-06-08 18:22:23.000,false
14,612,418,2021-08-01 21:00:00.000,από 15€,2,2021-06-08 18:22:24.000,false
15,612,418,2021-08-06 21:00:00.000,από 15€,2,2021-06-08 18:22:24.000,false
16,612,418,2021-08-07 21:00:00.000,από 15€,2,2021-06-08 18:22:24.000,false
17,612,418,2021-08-08 21:00:00.000,από 15€,2,2021-06-08 18:22:25.000,false
18,613,419,2021-06-24 21:30:00.000,από 15€,2,2021-06-08 18:22:41.000,false
19,613,419,2021-06-25 21:30:00.000,από 15€,2,2021-06-08 18:22:42.000,false
20,613,420,2021-06-29 21:30:00.000,από 15€,2,2021-06-08 18:22:42.000,false
21,613,420,2021-06-30 21:30:00.000,από 15€,2,2021-06-08 18:22:42.000,false
22,613,421,2021-07-02 21:30:00.000,από 15€,2,2021-06-08 18:22:43.000,false
23,613,421,2021-07-03 21:30:00.000,από 15€,2,2021-06-08 18:22:43.000,false
24,613,422,2021-07-05 21:30:00.000,από 15€,2,2021-06-08 18:22:44.000,false
25,613,422,2021-07-06 21:30:00.000,από 15€,2,2021-06-08 18:22:44.000,false
26,613,422,2021-07-07 21:30:00.000,από 15€,2,2021-06-08 18:22:44.000,false
27,613,423,2021-07-10 21:30:00.000,από 15€,2,2021-06-08 18:22:45.000,false
28,613,417,2021-07-12 21:30:00.000,από 15€,2,2021-06-08 18:22:45.000,false
29,613,424,2021-07-13 21:00:00.000,από 15€,2,2021-06-08 18:22:45.000,false
30,613,424,2021-07-14 21:00:00.000,από 15€,2,2021-06-08 18:22:46.000,false
31,613,425,2021-07-21 21:30:00.000,από 15€,2,2021-06-08 18:22:46.000,false
32,613,426,2021-07-22 21:30:00.000,από 15€,2,2021-06-08 18:22:47.000,false
33,613,427,2021-07-23 21:30:00.000,από 15€,2,2021-06-08 18:22:47.000,false
34,614,419,2021-07-16 21:30:00.000,"12€",2,2021-06-09 14:16:28.000,false
35,614,428,2021-07-21 21:30:00.000,"12€",2,2021-06-09 14:16:28.000,false
36,614,429,2021-07-24 21:30:00.000,"12€",2,2021-06-09 14:16:29.000,false
37,614,430,2021-07-25 21:30:00.000,"12€",2,2021-06-09 14:16:29.000,false
38,614,431,2021-07-27 21:30:00.000,"12€",2,2021-06-09 14:16:29.000,false
39,614,426,2021-07-30 21:30:00.000,από 15€,2,2021-07-27 15:40:53.000,false
40,614,432,2021-08-25 21:30:00.000,από 14€,2,2021-07-27 15:40:59.000,false
41,615,422,2021-06-29 21:30:00.000,από15€,2,2021-06-08 18:23:25.000,false
42,615,422,2021-06-30 21:30:00.000,από15€,2,2021-06-08 18:23:25.000,false
43,615,422,2021-07-01 21:30:00.000,από15€,2,2021-06-08 18:23:26.000,false
44,615,422,2021-07-02 21:30:00.000,από15€,2,2021-06-08 18:23:26.000,false
45,615,433,2021-07-04 21:30:00.000,από15€,2,2021-06-08 18:23:26.000,false
46,615,433,2021-07-05 21:30:00.000,από15€,2,2021-06-08 18:23:27.000,false
47,615,434,2021-07-07 21:30:00.000,από15€,2,2021-06-08 18:23:27.000,false
48,615,435,2021-07-08 21:30:00.000,από15€,2,2021-06-08 18:23:28.000,false
49,615,436,2021-07-09 21:30:00.000,από15€,2,2021-06-08 18:23:28.000,false
50,615,437,2021-07-10 21:30:00.000,από15€,2,2021-06-08 18:23:29.000,false
51,615,438,2021-07-12 21:30:00.000,από15€,2,2021-06-08 18:23:29.000,false
52,615,439,2021-07-13 21:30:00.000,από15€,2,2021-06-08 18:23:29.000,false
53,615,440,2021-07-15 21:30:00.000,από15€,2,2021-06-08 18:23:30.000,false
54,615,431,2021-07-16 21:30:00.000,από15€,2,2021-06-08 18:23:30.000,false
55,615,431,2021-07-17 21:30:00.000,από15€,2,2021-06-08 18:23:30.000,false
56,615,441,2021-07-18 21:30:00.000,από15€,2,2021-06-08 18:23:31.000,false
57,615,442,2021-07-20 21:30:00.000,από15€,2,2021-06-08 18:23:31.000,false
58,615,443,2021-07-21 21:30:00.000,από15€,2,2021-06-08 18:23:32.000,false
59,615,444,2021-07-22 21:30:00.000,από15€,2,2021-06-08 18:23:32.000,false
60,615,445,2021-07-24 21:30:00.000,από15€,2,2021-06-08 18:23:33.000,false
61,615,446,2021-07-25 21:30:00.000,από15€,2,2021-06-08 18:23:33.000,false
62,615,447,2021-07-31 21:30:00.000,από15€,2,2021-06-08 18:23:34.000,false
63,615,448,2021-08-01 21:30:00.000,από15€,2,2021-06-08 18:23:34.000,false
64,615,417,2021-09-01 21:00:00.000,από15€,2,2021-06-08 18:23:34.000,false
65,615,429,2021-09-02 21:00:00.000,από15€,2,2021-06-08 18:23:35.000,false
66,615,449,2021-09-05 21:00:00.000,από15€,2,2021-06-08 18:23:35.000,false
67,615,428,2021-09-06 21:00:00.000,από15€,2,2021-06-08 18:23:36.000,false
68,615,419,2021-09-14 21:00:00.000,από15€,2,2021-06-08 18:23:36.000,false
69,615,450,2021-09-17 21:00:00.000,από15€,2,2021-06-08 18:23:36.000,false
70,617,452,2021-06-16 21:30:00.000,"10€",2,2021-06-08 18:24:12.000,false
71,617,435,2021-06-17 21:30:00.000,"10€",2,2021-06-08 18:24:12.000,false
72,617,453,2021-06-25 21:00:00.000,"10€",2,2021-06-08 18:24:13.000,false
73,617,454,2021-07-05 21:30:00.000,"10€",2,2021-06-08 18:24:13.000,false
74,617,455,2021-07-10 21:30:00.000,"10€",2,2021-06-08 18:24:13.000,false
75,617,456,2021-07-14 21:30:00.000,"10€",2,2021-06-08 18:24:14.000,false
76,617,457,2021-07-15 21:30:00.000,"10€",2,2021-06-08 18:24:14.000,false
77,617,458,2021-07-19 21:30:00.000,"10€",2,2021-06-08 18:24:15.000,false
78,617,459,2021-07-20 21:30:00.000,"10€",2,2021-06-08 18:24:15.000,false
79,617,460,2021-07-21 21:30:00.000,"10€",2,2021-06-08 18:24:16.000,false
80,617,461,2021-07-22 21:30:00.000,"10€",2,2021-06-08 18:24:16.000,false
81,617,462,2021-07-31 21:30:00.000,"10€",2,2021-06-08 18:24:17.000,false
82,617,463,2021-08-03 21:30:00.000,"10€",2,2021-06-08 18:24:17.000,false
83,617,464,2021-08-27 21:00:00.000,"10€",2,2021-06-08 18:24:18.000,false
84,618,465,2021-06-11 21:30:00.000,"14€",2,2021-06-08 18:24:28.000,false
85,618,465,2021-06-12 21:30:00.000,"14€",2,2021-06-08 18:24:28.000,false
86,618,465,2021-06-13 21:30:00.000,"14€",2,2021-06-08 18:24:29.000,false
87,618,465,2021-06-17 21:30:00.000,"14€",2,2021-06-08 18:24:29.000,false
88,618,465,2021-06-18 21:30:00.000,"14€",2,2021-06-08 18:24:29.000,false
89,618,465,2021-06-19 21:30:00.000,"14€",2,2021-06-08 18:24:30.000,false
90,618,465,2021-06-20 21:30:00.000,"14€",2,2021-06-08 18:24:30.000,false
91,618,465,2021-06-24 21:30:00.000,"14€",2,2021-06-08 18:24:30.000,false
