"ID","Fullname","SystemID","timestamp","HairColor","Height","EyeColor","Weight","Languages","Description","Bio","Birthdate","Roles","IsClaimed","ClaimingStatus"
4968,Νίκος Βλασόπουλος,2,2021-01-31 10:18:29.000,,,,,,,,,"{ηθοποιοί,""σχεδιαστές φωτισμού""}",true,1
4663,Μαρία Οικονομίδη,2,2021-01-31 08:33:00.000,,,,,,,,,"{""βοηθοί σκηνοθέτη""}",false,0
4970,Μαρία Ναυπλιώτου,2,2021-01-31 10:18:30.000,,,,,,,,,{ηθοποιοί},false,2
4969,Μαρία Κάλλας,2,2021-01-31 10:18:30.000,,,,,,,,,{ηθοποιοί},true,1
6494,Μαρία Περετζή/ Ιουλία Βεντίκου/ Άννα Κυπραίου/ Μαρία Συμεωνίδου/ ΒίκηTσέλιου/ Αθηνά Παπαφώτη/ Χρυσούλα Μπέτσα/ Μαρία Τσούγκα/ Ιρις Μπαγλανέα/ ΠάτυΠαπα,2,2021-08-18 10:22:44.000,,,,,,,,,,false,0
17910,Giorgos  Triparolis ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actor},false,0
10421,Χρήστος Τσαβλίδης,2,2022-04-15 17:14:44.000,,,,,,,,,,false,0
10422,Αγγελική Φιλιππή,2,2022-04-15 17:14:45.000,,,,,,,,,,false,0
10423,Δήμος Βρύζας,2,2022-04-15 17:14:46.000,,,,,,,,,,false,0
10425,Άγγελος – Προκόπιος Νεράντζης,2,2022-04-15 17:14:49.000,,,,,,,,,,false,0
11820,ζώνη 15 ευρώ | B’ ζωνη 13 ευρώ,3,2023-02-20 21:30:06.000,,,,,,,,,,false,0
12064,Φωτογραφίες - video,3,2023-05-22 08:59:22.000,,,,,,,,,,false,0
12098,NG.Art.Productions / Ιnstagram,3,2023-09-25 13:21:47.000,,,,,,,,,,false,0
12099,Fb,3,2023-05-22 09:06:33.000,,,,,,,,,,false,0
12159,Έλσα Ανδριανού,3,2023-05-23 18:12:06.000,,,,,,,,,,false,0
12160,Έλσα Ανδριανού,3,2023-05-23 18:12:06.000,,,,,,,,,,false,0
12161,Νίκος Χαραλαμπίδης,3,2023-05-23 18:26:09.000,,,,,,,,,,false,0
12162,Νίκος Χαραλαμπίδης,3,2023-05-23 18:26:09.000,,,,,,,,,,false,0
12163,Έμιλυ Κουκουτσάκη,3,2023-05-23 18:29:13.000,,,,,,,,,,false,0
12164,Έμιλυ Κουκουτσάκη,3,2023-05-23 18:29:13.000,,,,,,,,,,false,0
12165,Ερατώ Πίσση,3,2023-05-23 18:32:20.000,,,,,,,,,,false,0
12166,Ερατώ Πίσση,3,2023-05-23 18:32:57.000,,,,,,,,,,false,0
12167,Κωστής Παυλόπουλος,3,2023-05-23 18:39:55.000,,,,,,,,,,false,0
12190,RISING Melbourne,10,2023-06-04 08:55:57.000,,,,,,,,,,false,0
12191,Χρυσή Βιδαλάκη,10,2023-06-04 09:46:28.000,,,,,,,,,,false,0
12196,Ζαχαρίας Ανανιάδης,3,2023-06-04 10:21:20.000,,,,,,,,,,false,0
12197,Κλειώ Αντωνοπούλου,3,2023-06-04 10:21:20.000,,,,,,,,,,false,0
12198,Ρίτσαρντ Άντονυ,3,2023-06-04 10:21:20.000,,,,,,,,,,false,0
12199,Χριστίνα Λύρα Ασλανίδη,3,2023-06-04 10:21:20.000,,,,,,,,,,false,0
12200,Γιάννος Γαβαλάς,3,2023-06-04 10:21:20.000,,,,,,,,,,false,0
12201,Μαρία Δαχλύθρα,3,2023-06-04 10:21:21.000,,,,,,,,,,false,0
12202,Αγάπη Θεοδωρίδου Κουνινή,3,2023-06-04 10:21:21.000,,,,,,,,,,false,0
12203,Χρύσα Ιωαννίδου,3,2023-06-04 10:21:21.000,,,,,,,,,,false,0
12204,Μαργαρίτα Καϊναδά,3,2023-06-04 10:21:21.000,,,,,,,,,,false,0
12205,Πετρή Καραδημητρίου,3,2023-06-04 10:21:21.000,,,,,,,,,,false,0
12206,Φιόνα Κατοίκου,3,2023-06-04 10:21:21.000,,,,,,,,,,false,0
12207,Θεανώ Κόντα,3,2023-06-04 10:21:21.000,,,,,,,,,,false,0
12208,Βαγγέλης Κοσμίδης,3,2023-06-04 10:21:21.000,,,,,,,,,,false,0
12209,Ελπίδα Κουϊτζόγλου,3,2023-06-04 10:21:21.000,,,,,,,,,,false,0
12210,Νίκος Κυπαρίσσης,3,2023-06-04 10:21:21.000,,,,,,,,,,false,0
12211,Ευτέρπη Κώστα,3,2023-06-04 10:21:21.000,,,,,,,,,,false,0
12212,Άγγελος Κωνσταντίνου,3,2023-06-04 10:21:22.000,,,,,,,,,,false,0
12213,Νικολέτα Λάππα,3,2023-06-04 10:21:22.000,,,,,,,,,,false,0
12214,Στέφανος Λέντζης,3,2023-06-04 10:21:22.000,,,,,,,,,,false,0
12215,Δημήτρης Λύρας,3,2023-06-04 10:21:22.000,,,,,,,,,,false,0
12216,Παναγιώτης Ματζίρης,3,2023-06-04 10:21:22.000,,,,,,,,,,false,0
12217,Χάρης Μπαϊρακταρίδης,3,2023-06-04 10:21:22.000,,,,,,,,,,false,0
12218,Γιώργος Ζήσης Μπιλιώνης,3,2023-06-04 10:21:22.000,,,,,,,,,,false,0
12219,Λυδία Μπουρτσάλα,3,2023-06-04 10:21:22.000,,,,,,,,,,false,0
12220,Θάνος Νανάσης,3,2023-06-04 10:21:22.000,,,,,,,,,,false,0
12221,Βέρα Νταλιάνη,3,2023-06-04 10:21:22.000,,,,,,,,,,false,0
12222,Μιχάλης Ντολόπουλος,3,2023-06-04 10:21:23.000,,,,,,,,,,false,0
12223,Σταυρούλα Ντολοπούλου,3,2023-06-04 10:21:23.000,,,,,,,,,,false,0
12224,Θεανώ Παπαβασιλείου,3,2023-06-04 10:21:23.000,,,,,,,,,,false,0
12225,Χάρις Σερδάρη,3,2023-06-04 10:21:23.000,,,,,,,,,,false,0
12226,Αλέξανδρος Χάτσιος,3,2023-06-04 10:21:23.000,,,,,,,,,,false,0
12227,Γιώργος Πούλος,3,2023-06-04 10:21:23.000,,,,,,,,,,false,0
12228,Barbara Dickinson,3,2023-06-04 10:21:23.000,,,,,,,,,,false,0
12229,Brooks Emanuel,3,2023-06-04 10:21:23.000,,,,,,,,,,false,0
12230,Leo Rya,3,2023-06-04 10:21:23.000,,,,,,,,,,false,0
12269,Σωτήρης Καλυβάτσης,3,2023-06-13 15:03:54.000,,,,,,,,,,false,0
12272,Ντάνιελ Νούρκα,3,2023-06-13 15:03:54.000,,,,,,,,,,false,0
12290,Βασίλης,3,2023-06-13 15:03:56.000,,,,,,,,,,false,0
12291,Έντι,3,2023-06-13 15:03:57.000,,,,,,,,,,false,0
12339,Ίδρυμα Πιερίδη / Παλιά Ηλεκτρική],3,2023-06-13 15:24:42.000,,,,,,,,,,false,0
12340,ιδιαίτερα στην Μαρία Ευσταθίου,3,2023-06-13 15:24:42.000,,,,,,,,,,false,0
12341,Ξένιο Συμεωνίδη,3,2023-06-15 13:53:08.000,,,,,,,,,,false,0
12342,Χαμπή Τσαγγάρη,3,2023-06-15 13:53:17.000,,,,,,,,,,false,0
12343,Γιώργο Νεοφύτου,3,2023-06-15 13:53:24.000,,,,,,,,,,false,0
12344,Ειρήνη Λορεντζιάδου,3,2023-06-15 13:53:31.000,,,,,,,,,,false,0
12347,Jan Van Angelopoulos,3,2023-06-13 15:31:23.000,,,,,,,,,,false,0
12371,Φένια Αποστόλου,3,2023-06-13 19:16:45.000,,,,,,,,,,false,0
12372,Εκδόσεις Άπαρσις,3,2023-06-13 19:16:45.000,,,,,,,,,,false,0
12373,Ιωάννης Δαμίγος,3,2023-06-13 19:16:45.000,,,,,,,,,,false,0
12374,VAULT theatre Plus,3,2023-06-13 19:16:45.000,,,,,,,,,,false,0
12392,Μάγδα Καυκούλα,3,2023-06-15 13:17:39.000,,,,,,,,,,false,0
12393,Σύνθεση ηχοτοπίων,3,2023-06-15 13:17:42.000,,,,,,,,,,false,0
12411,Κωνσταντίνος Μωραΐτης,3,2023-06-15 13:59:56.000,,,,,,,,,,false,0
12443,Σύνθεση ηχοτοπίων,3,2023-06-15 19:28:13.000,,,,,,,,,,false,0
12444,Συμμετοχή,3,2023-06-15 19:28:14.000,,,,,,,,,,false,0
12448,Σύνθεση ηχοτοπίων,3,2023-06-16 08:05:02.000,,,,,,,,,,false,0
12449,Συμμετοχή,3,2023-06-16 08:05:02.000,,,,,,,,,,false,0
12453,Σύνθεση ηχοτοπίων,3,2023-06-16 10:45:46.000,,,,,,,,,,false,0
12454,Συμμετοχή,3,2023-06-16 10:45:47.000,,,,,,,,,,false,0
12502,Τειρεσίας,3,2023-06-26 16:20:15.000,,,,,,,,,,false,0
17911,Yiorgos  Sbyrakis ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actor},false,0
17912,Dionysis  Voultsos ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actor},false,0
17913,Aliki  Kazouri ,13,2024-01-19 17:49:06.121,,,,,,,,,{Choreographer},false,0
17914,Alekos  Mandilas ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actor},false,0
17915,Lydia  Georgana ,13,2024-01-19 17:49:06.121,,,,,,,,,"{Director,""Casting Director"",""Acting Coach""}",false,0
17916,Giorgos  Kyriakos ,13,2024-01-19 17:49:06.121,,,,,,,,,"{""Production Manager""}",false,0
17917,Maria  Koumpani ,13,2024-01-19 17:49:06.121,Brown,"170 cm",Brown,"57 kg","{""Greek Native Speaker""}",,,,{Actress},false,0
17918,Giannis  Liapis ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actor},false,0
17919,Tatiana  Myrkou ,13,2024-01-19 17:49:06.121,,,,,,,,,"{Dancer,Choreographer,Musician}",false,0
17920,Paris  Mandopoulos ,13,2024-01-19 17:49:06.121,,,,,,,,,"{Actor,Dancer,Director}",false,0
17921,Andreas  Stavroulakis ,13,2024-01-19 17:49:06.121,,,,,,,,,{Gaffer},false,0
17922,Aris  Shinohoritis ,13,2024-01-19 17:49:06.121,,,,,,,,,{Grip},false,0
17923,Antonis  Mardakis ,13,2024-01-19 17:49:06.121,,,,,,,,,"{""Prop Man""}",false,0
17924,Nikos  Exarchos ,13,2024-01-19 17:49:06.121,,,,,,,,,"{""Boom Operator"",""Sound Recordist""}",false,0
17925,Dionysis  Samiotis ,13,2024-01-19 17:49:06.121,,,,,,,,,{Producer},false,0
17926,Periklis  Asimakopoulos ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actor},false,0
17927,Irini  Pavlou ,13,2024-01-19 17:49:06.121,,,,,,,,,"{""Makeup Artist""}",false,0
17928,Anna  Zardalidi ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actress},false,0
17929,Lydia  Sakellaropoulou ,13,2024-01-19 17:49:06.121,,,,,,,,,"{Dancer,Choreographer}",false,0
17930,Anna  Iris ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actress},false,0
17931,Stavros  Valeris ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actor},false,0
17932,Elli  Garyfallidou ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actress},false,0
17933,Chantal  Stevenson ,13,2024-01-19 17:49:06.121,,,,,,,,,"{""Casting Director"",""St Assistant Director"",Actress}",false,0
17934,Yiorgos  Lambiris ,13,2024-01-19 17:49:06.121,,,,,,,,,"{Director,""St Assistant Director""}",false,0
17935,Michael  Tsimberopoulos ,13,2024-01-19 17:49:06.121,,,,,,,,,"{""Steadicam Operator"",""Camera Operator"",""Underwater Camera Operator""}",false,0
17936,Alexandros  Saripanidis ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actor},false,0
17937,Giannis  Thomas ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actor},false,0
17938,Elpida  Pappa ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actress},false,0
17939,Giannis  Laspias ,13,2024-01-19 17:49:06.121,,,,,,,,,"{Actor,Director,Writer}",false,0
17940,Zeta  Douka ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actress},false,0
17941,Dimitra  Grizioti ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actress},false,0
17942,Nana  Papadaki ,13,2024-01-19 17:49:06.121,,,,,,,,,{Actress},false,0
